company_name,valuation,country,industry,ipo_status,data_source,estimated_ipo_score,readiness_tier
OpenAI,$157B,USA,AI,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
Anthropic,$60B,USA,AI,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
xAI,$50B,USA,AI,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
Databricks,$62B,USA,Data/AI,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
Scale AI,$14B,USA,AI,Private Unicorn,Curated (Verified),75,Near-Term (18-24mo)
Hugging Face,$4.5B,USA,AI,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Perplexity AI,$9B,USA,AI,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Groq,$2.8B,USA,AI Hardware,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Mistral AI,$6B,FRA,AI,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Stripe,$65B,USA,Fintech,Private Unicorn,Curated (Verified),75,Near-Term (18-24mo)
Revolut,$45B,UK,Fintech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Klarna,$14.6B,SWE,Fintech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Plaid,$13.4B,USA,Fintech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Chime,$25B,USA,Fintech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
SpaceX,$350B,USA,Space,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
Anduril,$14B,USA,Defense Tech,Private Unicorn,Curated (Verified),75,Near-Term (18-24mo)
Shield AI,$2.8B,USA,Defense Tech,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Relativity Space,$4.2B,USA,Space,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Canva,$26B,AUS,SaaS,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Figma,$12.5B,USA,Design,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Notion,$10B,USA,Productivity,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Discord,$15B,USA,Social,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Airtable,$11B,USA,SaaS,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Tempus,$8.1B,USA,Biotech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Insitro,$2.4B,USA,Biotech/AI,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Recursion,$3B,USA,Biotech/AI,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Cerebras,$4B,USA,AI Chips,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
SambaNova,$5B,USA,AI Chips,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Graphcore,$2.8B,UK,AI Chips,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Circle,$9B,USA,Crypto,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Fireblocks,$8B,USA,Crypto,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Figure AI,$2.6B,USA,Robotics,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Skydio,$2.2B,USA,Drones,Private Unicorn,Curated (Verified),60,Near-Term (18-24mo)
Physical Intelligence,$2B,USA,Robotics,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Redwood Materials,$5B,USA,Clean Tech,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Commonwealth Fusion,$2B,USA,Energy,Private Unicorn,Curated (Verified),60,Near-Term (18-24mo)
Form Energy,$1.2B,USA,Energy Storage,Private Unicorn,Curated (Verified),60,Near-Term (18-24mo)
229,"1,300",January 2016,VentureBeat[11],Private Unicorn,Wikipedia,50,Developing (2-3yr)
208,761,December 2016,TechCrunch[5],Private Unicorn,Wikipedia,50,Developing (2-3yr)
224,771.9,April 2017,TechCrunch,Private Unicorn,Wikipedia,50,Developing (2-3yr)
193,665,April 2017,Incmagazine[12],Private Unicorn,Wikipedia,50,Developing (2-3yr)
266,861,August 2018,CB Insights[3],Private Unicorn,Wikipedia,50,Developing (2-3yr)
394,"1,200",August 2018,CB Insights[13],Private Unicorn,Wikipedia,50,Developing (2-3yr)
495,"1,566",November 2020,CB Insights[13],Private Unicorn,Wikipedia,50,Developing (2-3yr)
963,"3,140",January 2022,CB Insights[13],Private Unicorn,Wikipedia,50,Developing (2-3yr)
"1,170","3,854",June 2022,CB Insights[14],Private Unicorn,Wikipedia,50,Developing (2-3yr)
"1,260","4,386",April 2025,CB Insights[15],Private Unicorn,Wikipedia,50,Developing (2-3yr)
"1,290","4,661",July 2025,CB Insights[16],Private Unicorn,Wikipedia,50,Developing (2-3yr)
"1,334","5,443",November 2025,CB Insights[17],Private Unicorn,Wikipedia,50,Developing (2-3yr)
USA,1050,2.29,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
China,343,0.20,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
India,124,0.09,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Germany,47,0.55,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Israel,42,4.20,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
South Korea,33,0.40,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Singapore,33,3.69,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
France,31,0.49,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Canada,30,0.75,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Brazil,25,0.09,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Netherlands,15,0.60,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Australia,12,0.43,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Japan,11,0.13,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Indonesia,10,0.03,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Hong Kong,10,1.71,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mexico,10,0.08,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Estonia,10,7.30,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ireland,9,1.89,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Switzerland,9,1.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Saudi Arabia,8,0.25,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Sweden,8,0.76,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
UAE,6,0.63,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Turkey,5,0.06,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Finland,5,1.61,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Norway,5,0.91,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Nigeria,4,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Vietnam,4,0.04,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Spain,4,0.08,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Luxembourg,4,0.03,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Thailand,3,0.04,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Egypt,3,0.03,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Russia,3,0.02,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Philippines,3,0.02,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cayman Islands,3,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Belgium,3,0.26,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Taiwan,2,0.02,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
South Africa,2,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bangladesh,2,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Malaysia,2,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Chile,2,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Argentina,2,0.31,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Austria,2,0.33,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Italy,2,0.03,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Denmark,2,0.50,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Lithuania,2,0.70,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ukraine,2,0.05,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Czech Republic,2,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Romania,2,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Portugal,2,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Kazakhstan,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Algeria,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bahamas,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bermuda,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Anguilla,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Colombia,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Malta,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Seychelles,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Croatia,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cyprus,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bulgaria,1,0.15,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Uruguay,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Uzbekistan,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Zimbabwe,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Armenia,1,0.36,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Greece,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Hungary,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Iceland,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Poland,1,0.01,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Liechtenstein,1,25,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Latvia,1,0.53,,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ByteDance,330,September 2025[22],Internet,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Binance,80–90,September 2021(2021-09)[14],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Shein,66,May 2023(2023-05)[14],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ramp,32,November 2025[29],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Safe Superintelligence,32,April 2025[30],Artificial Intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Epic Games,31.5,June 2022(2022-06)[14],Video games,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Anduril Industries,30.5,June 2025[31],Defense technology,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Telegram,30,January 2021(2021-01)[32],Internet,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Anysphere,29.3,November 2025(2025-11)[33],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Fanatics,27,June 2022(2022-06)[14],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Chobani,20,October 2025[38],Consumer staples,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Miro,17.5,January 2022(2022-01)[39],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Nature's Fynd,17,July 2021(2021-07)[40],Consumer packaged goods,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Trendyol,16.5,May 2021(2021-05)[41],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Yuanfudao,15.5,October 2020(2020-10)[42],Educational technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
DJI,15,September 2016(2016-09)[1],Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
GoPuff,15,July 2021(2021-07)[44],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Xiaohongshu,14,September 2023(2023-09)[46],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Helsing,14,September 2025(2025-09)[47],Defense,Private Unicorn,Wikipedia,55,Developing (2-3yr)
OpenSea,13.3,August 2025[49],Financial Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Grammarly,13,November 2021(2021-11)[50],Collaborative software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Devoted Health,12.6,October 2021(2021-10)[53],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Faire,12.4,November 2021(2021-11)[54],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Brex,12.3,October 2021[55],Finance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Thinking Machines Lab,12,July 2025[56],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Biosplice Therapeutics,12,April 2021[57],Health,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bitmain,12,June 2018,Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
GoodLeap,12,October 2021[58],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
SenseTime,12,January 2021[59],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Getir,12,March 2022[60],Retail,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Northvolt,11.75,June 2021[61],Batteries,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Whatnot,11.5,November 2025[62],E-Commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Rippling,11.25,March 2023[63],Workforce management,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Checkout.com,11,December 2022(2022-12)[14],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Celonis,11,June 2021[65],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ZongMu Technology,11,June 2021[66],Self-driving cars,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bolt Financial,11,January 2022[68],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bilt Rewards,10.75,July 2025,Financial Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cognition AI,10.2,September 2025(2025-09)[69],Artificial Intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Colossal Biosciences,10.2,January 2025[70],Biotechnology,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Alchemy,10.2,January 2022[71],Blockchain,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Chehaoduo,10,July 2021[72],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Digital Currency Group,10,November 2021[73],Venture capital,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mercor,10,October 2025[74],Artificial Intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Gusto,10,August 2021[75],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
KuCoin,10,May 2022[76],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Lalamove,10,January 2021[77],Supply chain management,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Notion Labs,10,October 2021[78],Productivity software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Polygon Technology,10,February 2022[79],"Blockchain,Web3",Private Unicorn,Wikipedia,55,Developing (2-3yr)
Ripple,10,December 2019[81],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Talkdesk,10,August 2021[82],Software as a service,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Oyo,9.6,August 2021[83],Hospitality,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Klaviyo,9.5,May 2021[84],Marketing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
OutSystems,9.5,February 2021[85],Software development,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ServiceTitan,9.5,June 2021[88],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Vercel,9.3,September 2025[89],Cloud computing / AI,Private Unicorn,Wikipedia,55,Developing (2-3yr)
HeyTea,9.3,July 2021[90],Retail,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Neuralink,9,May 2025[91],Neurotechnology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
VAST Data,9,December 2023(2023-12)[92],Data storage,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Tanium,9,June 2020[93],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Kavak,8.7,October 2021[94],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Rapyd,8.7,August 2021[95],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Supercell,8.6,June 2021[96],Gaming,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Nuro,8.6,November 2021[97],Robotics,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Snyk,8.5,September 2021[98],Application security,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bolt,8.4,January 2022[99],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Dream11,8,November 2021[100],Fantasy sports,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Flexport,8,February 2022[101],Logistics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
StarkWare Industries,8,May 2022[102],Blockchain,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Hopin,7.75,August 2021[103],Virtual event,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Dapper Labs,7.6,September 2021[104],NFT,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Netskope,7.5,July 2021[105],Computer security,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Razorpay,7.5,December 2021[106],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Carta,7.4,August 2021[107],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ola Consumer,7.3,December 2021[108],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Gong,4.5,November 2025[109],June 2021[110],Private Unicorn,Wikipedia,50,Developing (2-3yr)
TripActions,7.25,October 2021[111],Travel,Private Unicorn,Wikipedia,50,Developing (2-3yr)
PsiQuantum,7,March 2025[112],Quantum computing,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Automation Anywhere,6.8,November 2019[113],Robotic process automation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
1Password,6.8,July 2021[114],Password manager,Private Unicorn,Wikipedia,50,Developing (2-3yr)
WeDoctor,6.8,February 2021[115],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Yanolja,6.7,July 2021[117],Hospitality,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ziroom,6.6,March 2020[118],Real estate technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Lovable,6.6,December 2025[119],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mollie,6.5,June 2021[121],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
CRED,6.4,June 2022[122],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
DataRobot,6.3,July 2021[123],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Personio,6.3,October 2021[124],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Doctolib[fr],6.2,August 2022[125],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Lianjia(Homelink),6.04,April 2017[126],Real estate,Private Unicorn,Wikipedia,50,Developing (2-3yr)
OpenEvidence,6,October 2025[127],Health Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
iCapital,6,2022[128],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Xingsheng Youxuan,6,January 2021[129],Retail,Private Unicorn,Wikipedia,55,Developing (2-3yr)
SandboxAQ,5.6,December 2024[130],"Quantum technology,Artificial intelligence",Private Unicorn,Wikipedia,55,Developing (2-3yr)
Back Market,5.8,August 2022[125],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
The Boring Company,5.7,April 2022[131],Construction,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Vice Media,5.7,February 2020[132],Mass media,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Relex,5.68,February 2022[133],Supply Chain Automation,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Contentsquare,5.6,August 2022[125],Software as a service,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Fivetran,5.6,September 2021[134],Data infrastructure,Private Unicorn,Wikipedia,50,Developing (2-3yr)
PharmEasy,5.6,October 2021[135],Health technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Postman,5.6,August 2021[136],Software as a service,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Swiggy,5.5,January 2022[137],Food delivery,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Airwallex,5.5,November 2021[138],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
PhonePe,5.5,December 2020[139],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Viva Republica(Toss),5.48,June 2021[140],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Helion Energy,5.42,January 2025[141],Fusion power,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Pony.ai,5.3,November 2020[142],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Trade Republic,5.3,May 2021[143],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Rappi,5.25,July 2021[144],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Oura Health,5.2,December 2024[145],Wearables,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Blockchain.com,5.2,March 2021[146],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
